id,category,title,content,keywords
pf_eggs,Protein Foods,Eggs,"Eggs are a nutrient-dense whole food and one of the most complete protein sources available. Key nutrients: high-quality complete protein (all 9 essential amino acids), vitamin B12, vitamin D, choline, selenium, and riboflavin; the yolk also contains lutein and zeaxanthin, antioxidants that support eye health. Health benefits: supports muscle maintenance and growth, choline supports brain and liver health, and eggs are an affordable, versatile source of high-quality protein. Modern nutrition research shows dietary cholesterol from eggs has a much smaller effect on blood cholesterol for most people than once believed, so moderate egg consumption (about 1 egg/day) fits well within a healthy diet for most adults.","Eggs, egg nutrition, complete protein, choline, protein source"
recipe_scrambled_eggs,Recipes,Scrambled Eggs,"Recipe: Scrambled Eggs. Whisk eggs with a splash of milk, season with salt and pepper, and cook gently over low heat, stirring continuously until soft and creamy. Calories: 180. Protein: 13g (notably rich). A quick, high-protein breakfast staple; add vegetables like spinach or tomato for extra nutrients.","Scrambled eggs, egg recipe, breakfast, high protein"
recipe_boiled_eggs,Recipes,Boiled Eggs (Hard and Soft-Boiled),"Recipe: Boiled Eggs. Place eggs in a pot of water, bring to a boil, then simmer 6-7 minutes for soft-boiled or 10-12 minutes for hard-boiled, then cool in cold water before peeling. Calories: 78 (per egg). Protein: 6g (notably rich). One of the simplest, most portable high-protein snacks, with no added fat needed.","Boiled eggs, hard boiled egg, soft boiled egg, egg recipe, snack"
recipe_veg_omelette,Recipes,Vegetable Omelette,"Recipe: Vegetable Omelette. Whisk eggs, pour into a hot pan, and fill with sauteed onions, tomatoes, bell peppers, and spinach; fold in half once set. Calories: 220. Protein: 15g (notably rich). Vitamin C: 18mg. A filling breakfast combining protein with vegetable vitamins and fiber.","Omelette, vegetable omelette, egg recipe, breakfast"
recipe_egg_fried_rice,Recipes,Egg Fried Rice,"Recipe: Egg Fried Rice. Scramble eggs in a hot wok, then stir-fry with cooked rice, chopped vegetables (carrots, peas, spring onion), and soy sauce until well combined. Calories: 340. Protein: 12g. A quick, balanced one-pan meal combining protein, carbohydrates, and vegetables.","Egg fried rice, egg recipe, rice dish"
recipe_egg_curry,Recipes,Egg Curry,"Recipe: Egg Curry. Simmer hard-boiled eggs in a spiced onion-tomato gravy (ginger, garlic, turmeric, chili, garam masala) until the flavors soak in. Calories: 280. Protein: 14g (notably rich). A protein-rich Indian-style curry, usually served with rice or roti.","Egg curry, Indian egg recipe, curry"
recipe_egg_bhurji,Recipes,Egg Bhurji,"Recipe: Egg Bhurji. An Indian-style spiced scrambled egg dish - whisked eggs cooked with sauteed onions, tomatoes, green chilies, and turmeric until fluffy and well combined. Calories: 210. Protein: 13g (notably rich). A quick, flavorful, high-protein breakfast or dinner dish, popular across India.","Egg bhurji, Indian egg recipe, scrambled egg, spiced eggs"
recipe_egg_salad,Recipes,Egg Salad,"Recipe: Egg Salad. Mash hard-boiled eggs with a little mayonnaise or yogurt, mustard, and chopped celery/onion; season with salt and pepper. Calories: 250. Protein: 13g (notably rich). A protein-rich salad, great in a sandwich or on its own with greens; using yogurt instead of mayonnaise lightens it up.","Egg salad, egg recipe, protein salad"
recipe_poached_eggs,Recipes,Poached Eggs,"Recipe: Poached Eggs. Crack an egg into a small cup, then gently slide it into barely simmering water with a splash of vinegar; cook 3-4 minutes until the white sets but the yolk stays runny. Calories: 72 (per egg). Protein: 6g (notably rich). A classic, no-added-fat way to prepare eggs, often served over toast or greens (as in eggs Benedict-style dishes).","Poached eggs, egg recipe, breakfast"
recipe_egg_sandwich,Recipes,Egg Sandwich,"Recipe: Egg Sandwich. Layer a fried or scrambled egg between whole-grain bread with lettuce, tomato, and a light spread of mayonnaise or avocado. Calories: 300. Protein: 16g (notably rich). Fiber: 4g. A balanced, portable breakfast or lunch combining protein, whole grains, and vegetables.","Egg sandwich, egg recipe, breakfast sandwich"
