id,category,title,content,keywords
canc_breast,Common Illnesses,Breast Cancer,"Breast cancer is a cancer that forms in the cells of the breast, most commonly in the ducts or lobules. Source: risk factors include age, family history/genetic mutations (BRCA1/BRCA2), early menstruation/late menopause, obesity, alcohol use, and hormone therapy. Symptoms: a new lump or mass, breast swelling, skin dimpling, nipple discharge or inversion, and breast or nipple pain. Prevention: regular self-exams and mammogram screening for early detection, maintaining a healthy weight, limiting alcohol, regular physical activity, and breastfeeding when possible. Nutrition support: a diet rich in fruits, vegetables, and fiber, limiting processed and red meat, and maintaining a healthy weight all help lower risk and support recovery during treatment.","Breast cancer, mammogram, BRCA, breast lump"
canc_lung,Common Illnesses,Lung Cancer,"Lung cancer is a cancer that begins in the cells of the lungs. Source: the leading cause is tobacco smoking (including secondhand smoke), followed by exposure to radon gas, asbestos, air pollution, and family history. Symptoms: a persistent cough, coughing up blood, chest pain, hoarseness, unexplained weight loss, and shortness of breath. Prevention: not smoking (or quitting), avoiding secondhand smoke, testing homes for radon, and avoiding occupational carcinogen exposure. Nutrition support: a diet rich in fruits and vegetables (particularly ones with antioxidants) is associated with lower risk; adequate protein and calories are important to prevent weight loss during treatment.","Lung cancer, smoking, radon, persistent cough"
canc_skin,Common Illnesses,Skin Cancer (Melanoma),"Skin cancer is abnormal growth of skin cells, most often on skin exposed to the sun; melanoma is the most serious type. Source: primarily caused by ultraviolet (UV) radiation from sun exposure or tanning beds; fair skin, many moles, and family history increase risk. Symptoms: a new mole or a change in an existing mole's size, shape, or color; a sore that doesn't heal; or a spot that looks different from others. Prevention: using sunscreen, wearing protective clothing, avoiding peak sun hours and tanning beds, and regular skin self-exams for early detection. Nutrition support: antioxidant-rich foods (vitamin C, vitamin E, beta-carotene) may help protect skin cells from UV-related damage, alongside sun-safety practices.","Skin cancer, melanoma, UV radiation, mole changes"
canc_leukemia,Common Illnesses,Blood Cancer (Leukemia),"Leukemia is a cancer of the blood-forming tissues, including bone marrow, that leads to production of abnormal white blood cells. Source: exact cause is often unknown; risk factors include genetic disorders, previous chemotherapy/radiation, exposure to certain chemicals (like benzene), and family history. Symptoms: fatigue, frequent infections, easy bruising or bleeding, fever, and unexplained weight loss. Prevention: no guaranteed prevention exists since causes are largely genetic/unknown, but avoiding exposure to industrial chemicals and radiation when possible may reduce risk. Nutrition support: a high-protein, nutrient-dense diet supports blood cell recovery during treatment; food safety is especially important since chemotherapy weakens the immune system.","Leukemia, blood cancer, bone marrow, white blood cells"
canc_colorectal,Common Illnesses,Colorectal Cancer,"Colorectal cancer is cancer that begins in the colon or rectum, often starting as precancerous polyps. Source: risk factors include age, a diet high in red/processed meat and low in fiber, obesity, physical inactivity, smoking, alcohol, and family history/inflammatory bowel disease. Symptoms: changes in bowel habits, blood in stool, persistent abdominal discomfort, unexplained weight loss, and fatigue. Prevention: regular colonoscopy screening after age 45-50 (or earlier with family history) to detect and remove polyps before they become cancerous, along with a high-fiber diet and limiting processed/red meat. Nutrition support: high-fiber foods (whole grains, fruits, vegetables, legumes), calcium, and limiting processed and red meat are associated with lower risk.","Colorectal cancer, colon cancer, polyps, colonoscopy"
canc_prostate,Common Illnesses,Prostate Cancer,"Prostate cancer is cancer that develops in the prostate gland in men. Source: risk increases with age, family history, and is more common in men of African descent; diet and obesity may also play a role. Symptoms: often none in early stages; later symptoms include difficulty urinating, blood in urine or semen, and pelvic discomfort. Prevention: regular PSA blood test and screening discussions with a doctor after age 50 (or earlier with family history), maintaining a healthy weight, and regular physical activity. Nutrition support: a diet rich in vegetables (especially tomatoes/lycopene), limiting red meat and high-fat dairy, and maintaining a healthy weight are associated with lower risk.","Prostate cancer, PSA test, men's health"
canc_cervical,Common Illnesses,Cervical Cancer,"Cervical cancer is cancer that occurs in the cells of the cervix, almost always caused by persistent infection with high-risk types of human papillomavirus (HPV). Source: HPV infection (sexually transmitted) is the primary cause; smoking and a weakened immune system increase risk. Symptoms: often none in early stages; later symptoms include abnormal vaginal bleeding or discharge and pelvic pain. Prevention: HPV vaccination, regular Pap smear/HPV screening for early detection of precancerous changes, and safe sex practices. Nutrition support: a diet rich in fruits and vegetables supports overall immune function, which helps the body clear HPV infections before they progress.","Cervical cancer, HPV, Pap smear, women's health"
canc_liver,Common Illnesses,Liver Cancer,"Liver cancer is cancer that begins in the cells of the liver. Source: chronic Hepatitis B or C infection, cirrhosis (often from alcohol use or fatty liver disease), and aflatoxin exposure (a toxin from mold on stored grains/nuts) are major risk factors. Symptoms: unexplained weight loss, loss of appetite, upper abdominal pain, jaundice, and abdominal swelling. Prevention: Hepatitis B vaccination, avoiding excess alcohol, maintaining a healthy weight to prevent fatty liver disease, and proper food storage to avoid aflatoxin contamination. Nutrition support: a balanced, liver-friendly diet low in fat and alcohol, with adequate protein, supports liver health and recovery.","Liver cancer, hepatitis, cirrhosis, aflatoxin"
canc_stomach,Common Illnesses,Stomach Cancer,"Stomach (gastric) cancer is cancer that forms in the lining of the stomach. Source: chronic H. pylori bacterial infection, a diet high in smoked/salted/pickled foods, smoking, and family history are key risk factors. Symptoms: indigestion, stomach pain, unintended weight loss, feeling full after small meals, and nausea. Prevention: treating H. pylori infection, limiting smoked/salted/processed foods, not smoking, and eating plenty of fresh fruits and vegetables. Nutrition support: a diet rich in fresh fruits and vegetables (particularly citrus and leafy greens) and low in salted/smoked/processed foods is associated with lower risk.","Stomach cancer, gastric cancer, H. pylori"
canc_oral,Common Illnesses,Oral Cancer,"Oral cancer is cancer that develops in any part of the mouth, including the lips, tongue, and gums. Source: tobacco use (smoking or chewing) and heavy alcohol use are the leading causes, especially combined; HPV infection is also a growing risk factor. Symptoms: a mouth sore that doesn't heal, a lump or thickening in the cheek, white or red patches, and difficulty chewing or swallowing. Prevention: avoiding tobacco in all forms, limiting alcohol, HPV vaccination, and regular dental checkups for early detection. Nutrition support: a diet rich in fruits and vegetables supports oral tissue health; avoiding tobacco and excess alcohol remains the most important preventive step.","Oral cancer, mouth cancer, tobacco, HPV"
canc_lymphoma,Common Illnesses,Lymphoma,"Lymphoma is a cancer of the lymphatic system, part of the body's immune system, categorized broadly into Hodgkin and non-Hodgkin lymphoma. Source: exact cause is often unknown; risk factors include a weakened immune system, certain viral infections (like Epstein-Barr virus), and family history. Symptoms: painless swelling of lymph nodes (neck, armpit, groin), fatigue, fever, night sweats, and unexplained weight loss. Prevention: no guaranteed prevention exists, but maintaining a healthy immune system and avoiding known viral risk factors when possible may help. Nutrition support: a nutrient-dense, high-protein diet supports the immune system and helps maintain strength during treatment.","Lymphoma, Hodgkin lymphoma, lymph nodes, lymphatic system"
canc_pancreatic,Common Illnesses,Pancreatic Cancer,"Pancreatic cancer is cancer that forms in the tissues of the pancreas, an organ involved in digestion and blood sugar regulation. Source: risk factors include smoking, chronic pancreatitis, obesity, type 2 diabetes, and family history. Symptoms: often vague in early stages; later symptoms include abdominal pain radiating to the back, jaundice, unexplained weight loss, and new-onset diabetes. Prevention: not smoking, maintaining a healthy weight, limiting alcohol, and managing chronic pancreatitis or diabetes. Nutrition support: small, frequent, easily digestible meals with adequate protein and calories are important, since the pancreas's digestive role is often affected; a dietitian's guidance is valuable during treatment.","Pancreatic cancer, pancreatitis, jaundice"
