id,category,title,content,keywords
ill_covid19,Common Illnesses,COVID-19,"COVID-19 is a respiratory illness. Source: caused by the SARS-CoV-2 virus, spread mainly through respiratory droplets and close contact with an infected person. Symptoms: fever, cough, fatigue, loss of taste or smell, sore throat, and shortness of breath in severe cases. Prevention: vaccination, wearing masks in crowded indoor spaces, good hand hygiene, and staying home when sick. Nutrition support: adequate protein for tissue repair, vitamin C and zinc for immune support, vitamin D, and staying well hydrated. Rest and medical care are essential; nutrition supports recovery but does not replace treatment.","COVID-19, COVID, coronavirus disease, SARS-CoV-2, respiratory illness, pandemic"
ill_coronavirus,Common Illnesses,Coronavirus,"Coronaviruses are a family of viruses. Source: spread mainly via respiratory droplets and close contact; the family includes viruses causing the common cold as well as more severe diseases like SARS, MERS, and COVID-19 (caused by SARS-CoV-2). Symptoms: range from mild cold-like symptoms to severe respiratory illness depending on the specific virus. Prevention: hand hygiene, respiratory etiquette (covering coughs/sneezes), avoiding close contact with sick individuals, and vaccination where available. Nutrition support: adequate protein, vitamin C, vitamin D, and zinc, along with good hydration and rest, helps the body recover from viral respiratory infections.","Coronavirus, virus family, SARS, MERS, respiratory virus"
ill_malaria,Common Illnesses,Malaria,"Malaria is a parasitic disease. Source: caused by Plasmodium parasites, transmitted through the bite of infected Anopheles mosquitoes (does not spread person-to-person through casual contact). Symptoms: high fever, chills, sweating, headache, nausea, and muscle pain, often occurring in cycles; can cause anemia due to destruction of red blood cells. Prevention: sleeping under insecticide-treated mosquito nets, using mosquito repellent, eliminating standing water where mosquitoes breed, and antimalarial preventive medication for travelers to high-risk areas. Nutrition support: iron and folate-rich foods to help rebuild red blood cells, plenty of fluids during fever, and easily digestible, calorie-dense foods during recovery. Antimalarial medical treatment is essential.","Malaria, Plasmodium, mosquito-borne disease, fever, anemia"
ill_dengue,Common Illnesses,Dengue Fever,"Dengue fever is a viral infection. Source: spread by the bite of infected Aedes mosquitoes, which typically bite during the day and breed in stagnant water. Symptoms: sudden high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and a drop in platelet count; severe cases can lead to dengue hemorrhagic fever. Prevention: eliminating stagnant water around homes, using mosquito repellent and nets, and wearing long sleeves/pants in high-risk areas. Nutrition support: high fluid intake to prevent dehydration, vitamin C rich foods, and protein-rich foods to support platelet and tissue recovery; papaya leaf extract is a widely used traditional remedy, though medical monitoring of platelet counts is essential.","Dengue, dengue fever, Aedes mosquito, platelet count, viral fever"
ill_chikungunya,Common Illnesses,Chikungunya,"Chikungunya is a viral infection closely related to dengue. Source: spread by the bite of infected Aedes mosquitoes. Symptoms: sudden fever and severe joint pain (often the most prominent symptom), muscle pain, headache, and rash; joint pain can persist for weeks or months after the fever resolves. Prevention: eliminating mosquito breeding sites (stagnant water), using mosquito repellent and nets, and wearing protective clothing. Nutrition support: anti-inflammatory foods (omega-3s, turmeric), adequate hydration, and rest during the acute fever phase.","Chikungunya, chickengunia, chikungunya fever, joint pain, Aedes mosquito"
ill_asthma,Common Illnesses,Asthma,"Asthma is a chronic respiratory condition. Source: airways become inflamed and narrowed, triggered by allergens, cold air, exercise, respiratory infections, air pollution, or genetic predisposition (it is not contagious). Symptoms: wheezing, shortness of breath, chest tightness, and coughing. Prevention: identifying and avoiding personal triggers, using prescribed control medication consistently, getting flu/pneumonia vaccinations, and keeping indoor air clean. Nutrition support: an anti-inflammatory diet rich in omega-3 fatty acids, fruits, and vegetables; adequate vitamin D; and identifying/avoiding specific food triggers if present. Asthma requires ongoing medical management alongside supportive nutrition.","Asthma, wheezing, chronic respiratory disease, airway inflammation"
ill_cbc_report,Common Illnesses,CBC Report (Complete Blood Count),"A Complete Blood Count (CBC) is a common blood test. It measures red blood cells (RBC), white blood cells (WBC), hemoglobin, hematocrit (PCV), and platelets. Use: screens for and helps diagnose conditions like anemia (low hemoglobin/RBC), infections (high WBC), and clotting disorders (abnormal platelets). Prevention/monitoring: routine CBC testing helps catch nutrient deficiencies and blood disorders early, before symptoms become severe. Understanding your CBC report alongside a doctor's interpretation helps identify nutrient deficiencies (like iron or B12 deficiency) that may need dietary correction.","CBC, complete blood count, blood test, blood report, RBC, WBC, platelets, hemoglobin"
ill_tuberculosis,Common Illnesses,Tuberculosis (TB),"Tuberculosis (TB) is a bacterial infection. Source: caused by Mycobacterium tuberculosis, primarily affecting the lungs, spread through airborne droplets when an infected person coughs or sneezes. Symptoms: persistent cough (sometimes with blood), unexplained weight loss, night sweats, fever, and fatigue. Prevention: BCG vaccination (given in many countries at birth), good ventilation, early detection and treatment of active cases, and completing the full antibiotic course to prevent drug-resistant strains. Nutrition support: TB commonly causes malnutrition and significant weight loss, so a high-protein, high-calorie diet, along with adequate vitamin D and vitamin A, supports immune function and tissue repair during the long antibiotic treatment course.","Tuberculosis, TB, Mycobacterium tuberculosis, lung infection, persistent cough"
ill_chickenpox,Common Illnesses,Chickenpox,"Chickenpox is a highly contagious viral infection. Source: caused by the varicella-zoster virus, spread through direct contact with the rash or through respiratory droplets; most common in children. Symptoms: itchy, blister-like rash, fever, tiredness, and loss of appetite. Prevention: varicella vaccination is highly effective; avoiding contact with infected individuals if not immune. Nutrition support: soft, easy-to-swallow foods if there are mouth sores, plenty of fluids to prevent dehydration, and vitamin C rich foods to support healing; avoid scratching to prevent scarring and secondary infection.","Chickenpox, chicken pox, varicella-zoster, viral rash"
ill_jaundice,Common Illnesses,Jaundice,"Jaundice is a yellowing of the skin and eyes caused by a buildup of bilirubin in the blood. Source: often signals an underlying liver problem (such as hepatitis), bile duct blockage, or excessive red blood cell breakdown, rather than being a disease itself. Prevention: vaccination against hepatitis, avoiding excess alcohol, maintaining a healthy weight to prevent fatty liver disease, and prompt treatment of underlying conditions. Nutrition support: a liver-friendly diet that's low in fat and avoids alcohol, adequate hydration, and easily digestible, high-fiber foods; the underlying cause needs medical diagnosis and treatment.","Jaundice, yellowing skin, bilirubin, liver problem"
