id,category,subtopic,title,content,keywords
vm_vitamin_a,Vitamins & Minerals,Vitamin,Vitamin A,"Vitamin A (also known as Retinol) is a vitamin. Key benefits: Supports vision (especially night vision); immune function; skin health; cell growth. Food sources: Liver, egg yolks, dairy, carrots, sweet potatoes, spinach, kale, mango. Adult RDA: 900 mcg RAE (men) / 700 mcg RAE (women). Deficiency symptoms: Night blindness, dry eyes, dry skin, frequent infections. Deficiency disease(s): Night blindness / Xerophthalmia.",Vitamin A; Retinol; Vitamin
vm_vitamin_b1,Vitamins & Minerals,Vitamin,Vitamin B1,"Vitamin B1 (also known as Thiamin) is a vitamin. Key benefits: Helps convert food into energy; supports nerve and muscle function. Food sources: Whole grains, pork, legumes, seeds, nuts, fortified cereals. Adult RDA: 1.2 mg (men) / 1.1 mg (women). Deficiency symptoms: Fatigue, irritability, nerve damage, muscle weakness. Deficiency disease(s): Beriberi.",Vitamin B1; Thiamin; Vitamin
vm_vitamin_b2,Vitamins & Minerals,Vitamin,Vitamin B2,"Vitamin B2 (also known as Riboflavin) is a vitamin. Key benefits: Supports energy production; cell function; growth; helps break down fats and drugs. Food sources: Dairy, eggs, lean meats, green vegetables, fortified grains. Adult RDA: 1.3 mg (men) / 1.1 mg (women). Deficiency symptoms: Cracked lips, sore throat, skin disorders, eye fatigue. Deficiency disease(s): Ariboflavinosis.",Vitamin B2; Riboflavin; Vitamin
vm_vitamin_b3,Vitamins & Minerals,Vitamin,Vitamin B3,"Vitamin B3 (also known as Niacin) is a vitamin. Key benefits: Supports digestive system; skin; nerves; helps convert food to energy. Food sources: Meat, fish, poultry, whole grains, peanuts, legumes. Adult RDA: 16 mg (men) / 14 mg (women). Deficiency symptoms: Fatigue, skin rashes, digestive issues, mental confusion. Deficiency disease(s): Pellagra.",Vitamin B3; Niacin; Vitamin
vm_vitamin_b5,Vitamins & Minerals,Vitamin,Vitamin B5,"Vitamin B5 (also known as Pantothenic Acid) is a vitamin. Key benefits: Helps synthesize coenzyme A for fatty acid metabolism; supports hormone production. Food sources: Chicken, beef, potatoes, oats, tomatoes, whole grains, mushrooms. Adult RDA: 5 mg. Deficiency symptoms: Fatigue, irritability, numbness, tingling in hands/feet. Deficiency disease(s): Rare - Paresthesia.",Vitamin B5; Pantothenic Acid; Vitamin
vm_vitamin_b6,Vitamins & Minerals,Vitamin,Vitamin B6,"Vitamin B6 (also known as Pyridoxine) is a vitamin. Key benefits: Supports brain development; immune function; amino acid metabolism. Food sources: Poultry, fish, potatoes, chickpeas, bananas, fortified cereals. Adult RDA: 1.3 mg. Deficiency symptoms: Anemia, skin rashes, confusion, weakened immunity. Deficiency disease(s): Peripheral neuropathy.",Vitamin B6; Pyridoxine; Vitamin
vm_vitamin_b7,Vitamins & Minerals,Vitamin,Vitamin B7,"Vitamin B7 (also known as Biotin) is a vitamin. Key benefits: Supports metabolism of fats; carbohydrates; proteins; supports hair and nail health. Food sources: Eggs, nuts, seeds, salmon, sweet potatoes, organ meats. Adult RDA: 30 mcg. Deficiency symptoms: Hair thinning, brittle nails, skin rashes. Deficiency disease(s): Biotin deficiency (rare).",Vitamin B7; Biotin; Vitamin
vm_vitamin_b9,Vitamins & Minerals,Vitamin,Vitamin B9,"Vitamin B9 (also known as Folate / Folic Acid) is a vitamin. Key benefits: Essential for DNA synthesis and cell division; critical during pregnancy for fetal development. Food sources: Leafy greens, legumes, citrus fruits, asparagus, fortified grains. Adult RDA: 400 mcg DFE. Deficiency symptoms: Fatigue, weakness, poor concentration, birth defects if deficient in pregnancy. Deficiency disease(s): Folate-deficiency anemia.",Vitamin B9; Folate / Folic Acid; Vitamin
vm_vitamin_b12,Vitamins & Minerals,Vitamin,Vitamin B12,"Vitamin B12 (also known as Cobalamin) is a vitamin. Key benefits: Supports red blood cell formation; neurological function; DNA synthesis. Food sources: Meat, fish, dairy, eggs, fortified nutritional yeast (not found in plant foods). Adult RDA: 2.4 mcg. Deficiency symptoms: Fatigue, weakness, numbness/tingling, memory problems, pale skin. Deficiency disease(s): Pernicious anemia / B12-deficiency anemia.",Vitamin B12; Cobalamin; Vitamin
vm_vitamin_c,Vitamins & Minerals,Vitamin,Vitamin C,"Vitamin C (also known as Ascorbic Acid) is a vitamin. Key benefits: Antioxidant; supports immune function; collagen synthesis; iron absorption; wound healing. Food sources: Citrus fruits, strawberries, bell peppers, broccoli, tomatoes, kiwi. Adult RDA: 90 mg (men) / 75 mg (women). Deficiency symptoms: Bleeding gums, slow wound healing, joint pain, easy bruising. Deficiency disease(s): Scurvy.",Vitamin C; Ascorbic Acid; Vitamin
vm_vitamin_d,Vitamins & Minerals,Vitamin,Vitamin D,"Vitamin D (also known as Calciferol) is a vitamin. Key benefits: Supports calcium absorption; bone health; immune and muscle function. Food sources: Fatty fish, egg yolks, fortified milk, mushrooms; also produced via sun exposure. Adult RDA: 600-800 IU (15-20 mcg). Deficiency symptoms: Bone pain, muscle weakness, increased fracture risk. Deficiency disease(s): Rickets (children) / Osteomalacia (adults).",Vitamin D; Calciferol; Vitamin
vm_vitamin_e,Vitamins & Minerals,Vitamin,Vitamin E,"Vitamin E (also known as Tocopherol) is a vitamin. Key benefits: Antioxidant; protects cells from damage; supports immune function and skin health. Food sources: Nuts, seeds, vegetable oils, spinach, avocado. Adult RDA: 15 mg. Deficiency symptoms: Muscle weakness, vision problems, immune issues (rare, usually from fat malabsorption). Deficiency disease(s): Vitamin E deficiency (rare).",Vitamin E; Tocopherol; Vitamin
vm_vitamin_k,Vitamins & Minerals,Vitamin,Vitamin K,"Vitamin K (also known as Phylloquinone / Menaquinone) is a vitamin. Key benefits: Essential for blood clotting and bone metabolism. Food sources: Leafy greens (kale, spinach), broccoli, Brussels sprouts, fermented foods. Adult RDA: 120 mcg (men) / 90 mcg (women). Deficiency symptoms: Easy bruising, excessive bleeding, poor bone health. Deficiency disease(s): Vitamin K deficiency bleeding.",Vitamin K; Phylloquinone / Menaquinone; Vitamin
vm_calcium,Vitamins & Minerals,Mineral,Calcium,"Calcium is a mineral. Key benefits: Builds and maintains bones and teeth; supports muscle function; nerve signaling; blood clotting. Food sources: Dairy products, leafy greens, fortified plant milks, tofu, almonds, sardines. Adult RDA: 1000-1200 mg. Deficiency symptoms: Muscle cramps, brittle nails, numbness, increased fracture risk. Deficiency disease(s): Osteoporosis / Osteopenia.",Calcium; Mineral
vm_iron,Vitamins & Minerals,Mineral,Iron,"Iron is a mineral. Key benefits: Essential for hemoglobin production and oxygen transport in the blood. Food sources: Red meat, poultry, seafood, lentils, beans, spinach, fortified cereals. Adult RDA: 8 mg (men) / 18 mg (women). Deficiency symptoms: Fatigue, pale skin, weakness, shortness of breath, cold hands/feet. Deficiency disease(s): Iron-deficiency anemia.",Iron; Mineral
vm_magnesium,Vitamins & Minerals,Mineral,Magnesium,"Magnesium is a mineral. Key benefits: Supports muscle and nerve function; blood sugar regulation; blood pressure; bone health. Food sources: Nuts, seeds, whole grains, leafy greens, legumes, dark chocolate. Adult RDA: 400-420 mg (men) / 310-320 mg (women). Deficiency symptoms: Muscle cramps, fatigue, irregular heartbeat, numbness. Deficiency disease(s): Hypomagnesemia.",Magnesium; Mineral
vm_zinc,Vitamins & Minerals,Mineral,Zinc,"Zinc is a mineral. Key benefits: Supports immune function; wound healing; DNA synthesis; taste/smell. Food sources: Meat, shellfish, legumes, seeds, nuts, dairy. Adult RDA: 11 mg (men) / 8 mg (women). Deficiency symptoms: Hair loss, delayed wound healing, weakened immunity, loss of appetite. Deficiency disease(s): Zinc deficiency.",Zinc; Mineral
vm_potassium,Vitamins & Minerals,Mineral,Potassium,"Potassium is a mineral. Key benefits: Regulates fluid balance; muscle contractions; nerve signals; supports heart function. Food sources: Bananas, potatoes, beans, spinach, avocado, oranges. Adult RDA: 2600-3400 mg. Deficiency symptoms: Muscle weakness, cramps, irregular heartbeat, fatigue. Deficiency disease(s): Hypokalemia.",Potassium; Mineral
vm_sodium,Vitamins & Minerals,Mineral,Sodium,"Sodium is a mineral. Key benefits: Regulates fluid balance and blood pressure; supports nerve and muscle function. Food sources: Table salt, processed foods, bread, cheese, canned soups. Adult RDA: 1500-2300 mg (upper limit). Deficiency symptoms: Nausea, muscle cramps, confusion, low blood pressure (deficiency is rare). Deficiency disease(s): Hyponatremia.",Sodium; Mineral
vm_phosphorus,Vitamins & Minerals,Mineral,Phosphorus,"Phosphorus is a mineral. Key benefits: Works with calcium to build bones and teeth; supports energy storage and cell membrane structure. Food sources: Meat, dairy, fish, nuts, legumes, whole grains. Adult RDA: 700 mg. Deficiency symptoms: Bone pain, weakness, loss of appetite (deficiency is rare). Deficiency disease(s): Hypophosphatemia.",Phosphorus; Mineral
