id,category,title,content,keywords
fv_apple,Fruits & Vegetables,Apple,"Apple is a popular fruit, available in many varieties (red, green, yellow). Key nutrients: fiber (especially pectin), vitamin C, and antioxidants like quercetin, concentrated mostly in the skin. Health benefits: supports heart health and healthy cholesterol levels, aids digestion, and helps regulate blood sugar due to its fiber content. Best eaten with the skin on for maximum fiber and antioxidants.","Apple, fruit nutrition, pectin, quercetin"
fv_banana,Fruits & Vegetables,Banana,"Banana is a widely eaten tropical fruit. Key nutrients: potassium, vitamin B6, vitamin C, and fiber. Health benefits: supports heart and muscle function through potassium, provides quick energy from natural sugars, and aids digestion. A convenient, easily digestible pre- or post-exercise snack.","Banana, potassium, fruit nutrition"
fv_orange,Fruits & Vegetables,Orange,"Orange is a citrus fruit known for its high vitamin C content. Key nutrients: vitamin C, fiber, folate, and antioxidants (flavonoids). Health benefits: strengthens immune function, supports collagen production and skin health, and improves iron absorption from plant foods when eaten together.","Orange, citrus, vitamin c, fruit nutrition"
fv_mango,Fruits & Vegetables,Mango,"Mango is a sweet tropical fruit often called the 'king of fruits'. Key nutrients: vitamin A, vitamin C, folate, and fiber. Health benefits: supports eye health and immune function through vitamin A and C, and aids digestion; best enjoyed in moderation due to its natural sugar content, especially for those managing blood sugar.","Mango, tropical fruit, vitamin a, fruit nutrition"
fv_kiwi,Fruits & Vegetables,Kiwi,"Kiwi (kiwifruit) is a small fruit with green or gold flesh and edible black seeds. Key nutrients: exceptionally high in vitamin C (more per serving than an orange), vitamin K, fiber, and potassium. Health benefits: strong immune support, aids digestion due to fiber and the enzyme actinidin, and supports healthy blood clotting via vitamin K.","Kiwi, kiwifruit, vitamin c, fruit nutrition"
fv_grapes,Fruits & Vegetables,Grapes,"Grapes are small, sweet fruits that grow in clusters, available in green, red, and black varieties. Key nutrients: vitamin C, vitamin K, and antioxidants like resveratrol (concentrated in the skin, especially red/black grapes). Health benefits: antioxidants support heart health and may help reduce inflammation; best eaten in moderation due to natural sugar content.","Grapes, resveratrol, fruit nutrition"
fv_papaya,Fruits & Vegetables,Papaya,"Papaya is a tropical fruit with orange flesh and black seeds. Key nutrients: vitamin C, vitamin A, folate, and the digestive enzyme papain. Health benefits: aids digestion (papain helps break down protein), supports immune function and eye health, and has anti-inflammatory properties.","Papaya, papain, tropical fruit, fruit nutrition"
fv_pineapple,Fruits & Vegetables,Pineapple,"Pineapple is a tropical fruit known for its sweet-tart flavor. Key nutrients: vitamin C, manganese, and the enzyme bromelain. Health benefits: bromelain has anti-inflammatory properties and aids protein digestion; vitamin C supports immune function and wound healing.","Pineapple, bromelain, tropical fruit, fruit nutrition"
fv_guava,Fruits & Vegetables,Guava,"Guava is a tropical fruit with edible skin and seeds. Key nutrients: extremely high in vitamin C (often more than citrus fruits), fiber, and lycopene (in pink-fleshed varieties). Health benefits: strong immune support, aids digestion due to high fiber content, and supports heart health through lycopene and potassium.","Guava, vitamin c, tropical fruit, fruit nutrition"
fv_pomegranate,Fruits & Vegetables,Pomegranate,"Pomegranate is a fruit with a thick skin containing many juicy, seeded arils. Key nutrients: vitamin C, vitamin K, fiber, and powerful antioxidants called punicalagins. Health benefits: supports heart health, has strong anti-inflammatory and antioxidant effects, and may support joint health.","Pomegranate, antioxidants, fruit nutrition"
