id,category,title,content,keywords
recipe_immunity_smoothie,Recipes,Sunshine Immunity Smoothie,"Recipe: Sunshine Immunity Smoothie. A vitamin-C-rich breakfast smoothie blending orange, kiwi, and mango with a squeeze of lemon and a spoon of yogurt for probiotics. Calories: 180. Protein: 5g. Fiber: 4g. Vitamin C: 145mg (over 150% of daily RDA). Vitamin A: 25% RDA. Great immunity-boosting drink for cold and flu season, vegetarian and gluten-free.","Sunshine, Immunity, Smoothie, vitamin c, orange, kiwi, mango, immune boosting, vegetarian"
recipe_kale_citrus_salad,Recipes,Massaged Kale and Citrus Salad,"Recipe: Massaged Kale and Citrus Salad. Fresh kale massaged with olive oil and lemon juice, tossed with orange and grapefruit segments, toasted almonds, and pomegranate seeds. Calories: 210. Protein: 6g. Fiber: 6g. Vitamin C: 110mg (over 100% RDA). Vitamin A: 90% RDA. A vegetarian, vitamin-C-rich immunity salad, naturally low sodium and gluten-free.","Massaged, Kale, Citrus, Salad, vitamin c, vegetarian, immunity, low sodium, gluten free"
recipe_avocado_toast_eggs,Recipes,Avocado Toast with Eggs,"Recipe: Avocado Toast with Eggs. Whole-grain toast topped with mashed avocado, a poached or fried egg, chili flakes, and lemon juice. Calories: 320. Protein: 14g. Fiber: 7g. Vitamin C: 15mg. Vitamin E: 20% RDA. A vegetarian high-protein breakfast, good source of healthy fats and fiber.","Avocado, Toast, Eggs, vegetarian, protein, breakfast, healthy fats"
recipe_chickpea_salad,Recipes,Chickpea Salad,"Recipe: Chickpea Salad. Chickpeas tossed with cucumber, tomato, red onion, parsley, olive oil, and lemon juice. Calories: 250. Protein: 11g. Fiber: 9g. Iron: 15% RDA. Vitamin C: 25mg. A vegetarian, high-protein, high-fiber salad suitable for vegan and gluten-free diets, and a good plant-based iron source for anemia-friendly diets.","Chickpea, Salad, vegetarian, vegan, protein, fiber, iron, anemia friendly"
recipe_diabetic_chicken_bowl,Recipes,Diabetic-Friendly Grilled Chicken and Vegetable Bowl,"Recipe: Diabetic-Friendly Grilled Chicken and Vegetable Bowl. Grilled chicken breast with roasted broccoli, bell peppers, and a small portion of quinoa, dressed with olive oil and herbs. Calories: 380. Protein: 35g. Fiber: 6g. Low glycemic index, no added sugar, moderate low-carb meal designed to help keep blood sugar and glucose levels stable for people managing diabetes.","Diabetic, diabetes, blood sugar, glucose, low glycemic, low carb, chicken, high protein"
recipe_kidney_cauliflower_rice,Recipes,Kidney-Friendly Cauliflower Rice Pilaf,"Recipe: Kidney-Friendly Cauliflower Rice Pilaf. Riced cauliflower sauteed with garlic, herbs, and a touch of olive oil, served as a low-potassium, low-phosphorus, low-sodium alternative to rice. Calories: 120. Protein: 4g. Fiber: 5g. Sodium: under 140mg per serving. Designed for kidney disease and renal diets that need to limit potassium and sodium intake.","Kidney, renal, low potassium, low phosphorus, low sodium, cauliflower rice, diet"
recipe_iron_lentil_stew,Recipes,Iron-Rich Spinach and Lentil Stew,"Recipe: Iron-Rich Spinach and Lentil Stew. Red lentils simmered with spinach, tomatoes, cumin, and garlic, a hearty plant-based stew. Calories: 290. Protein: 18g. Fiber: 12g. Iron: 35% RDA. Vitamin C: 20mg (helps iron absorption). An anemia-friendly, vegetarian, vegan, high-iron and high-protein meal to help increase hemoglobin naturally.","Iron rich, Spinach, Lentil, Stew, anemia, hemoglobin, vegetarian, vegan, high protein"
recipe_low_sodium_veggies,Recipes,Low-Sodium Herb Roasted Vegetables,"Recipe: Low-Sodium Herb Roasted Vegetables. Zucchini, carrots, and bell peppers roasted with olive oil, garlic, rosemary, and black pepper, no added salt. Calories: 140. Protein: 3g. Fiber: 6g. Sodium: under 60mg per serving. A low sodium, heart-healthy, kidney-friendly side dish suitable for blood pressure and renal diets.","Low sodium, roasted vegetables, heart healthy, kidney friendly, blood pressure, side dish"
recipe_under400_salmon_bowl,Recipes,Under-400-Calorie Grilled Salmon and Greens Bowl,"Recipe: Under-400-Calorie Grilled Salmon and Greens Bowl. Grilled salmon fillet over mixed greens, cherry tomatoes, and cucumber with a light lemon vinaigrette. Calories: 370. Protein: 32g. Fiber: 5g. Omega-3 rich, low calorie, gluten-free. A light meal under 400 calories, great for weight management diets.","Under 400 calories, low calorie, salmon, omega 3, weight loss, gluten free"
recipe_highprotein_quinoa_bowl,Recipes,High-Protein Quinoa Power Bowl,"Recipe: High-Protein Quinoa Power Bowl. Quinoa topped with black beans, grilled chicken or tofu, avocado, and pumpkin seeds. Calories: 420. Protein: 28g. Fiber: 10g. Iron: 20% RDA. A high-protein, high-fiber vegetarian-adaptable bowl, good for muscle recovery and general strength/energy goals.","High protein, Quinoa, Power Bowl, vegetarian, muscle recovery, fiber, iron"
