id,category,title,content,keywords
recipe_choc_milkshake,Recipes,Classic Chocolate Milkshake,"Recipe: Classic Chocolate Milkshake. Blend milk, vanilla ice cream, and chocolate syrup until smooth and creamy. Calories: 320. Protein: 8g. Calcium: 280mg (notably rich). A classic indulgent treat; best enjoyed in moderation due to added sugar content.","Chocolate milkshake, milkshake recipe, dessert drink, chocolate"
recipe_strawberry_milkshake,Recipes,Strawberry Milkshake,"Recipe: Strawberry Milkshake. Blend fresh strawberries, milk, and vanilla ice cream until smooth. Calories: 260. Protein: 7g. Vitamin C: 28mg (notably rich). Fresh strawberries add real vitamin C and antioxidants to this classic fruity shake.","Strawberry milkshake, fruit milkshake, dessert drink"
recipe_banana_pb_milkshake,Recipes,Banana Peanut Butter Protein Milkshake,"Recipe: Banana Peanut Butter Protein Milkshake. Blend banana, milk, peanut butter, and a scoop of protein powder until smooth. Calories: 380. Protein: 24g (notably rich). Potassium: 550mg (notably rich). A high-protein, potassium-rich milkshake, great as a post-workout recovery drink or a filling breakfast.","Banana milkshake, protein milkshake, peanut butter, post workout, high protein"
recipe_mango_milkshake,Recipes,Mango Milkshake,"Recipe: Mango Milkshake. Blend ripe mango, milk, and a little sugar or honey until smooth and creamy. Calories: 250. Protein: 6g. Vitamin A: 45% RDA (notably rich). Vitamin C: 20mg. A tropical, vitamin-A-rich shake that's a popular summer favorite.","Mango milkshake, fruit milkshake, tropical drink"
recipe_vanilla_milkshake,Recipes,Vanilla Milkshake,"Recipe: Vanilla Milkshake. Blend milk, vanilla ice cream, and a splash of vanilla extract until thick and smooth. Calories: 300. Protein: 8g. Calcium: 270mg (notably rich). A simple, classic milkshake base that pairs well with any mix-in (fruit, cocoa, nut butter).","Vanilla milkshake, classic milkshake, dessert drink"
recipe_protein_power_milkshake,Recipes,Protein Power Milkshake,"Recipe: Protein Power Milkshake. Blend milk (or plant milk), a scoop of whey or plant protein powder, a banana, and ice until smooth. Calories: 280. Protein: 30g (notably rich). Calcium: 300mg (notably rich). Designed as a high-protein recovery drink for muscle repair after exercise, or a quick high-protein breakfast.","Protein milkshake, muscle recovery, high protein, fitness drink, post workout"
recipe_oreo_milkshake,Recipes,Oreo Cookies and Cream Milkshake,"Recipe: Oreo Cookies and Cream Milkshake. Blend milk, vanilla ice cream, and crushed Oreo cookies until thick and smooth. Calories: 420. Protein: 8g. An indulgent dessert-style milkshake best enjoyed occasionally as a treat rather than a regular drink.","Oreo milkshake, cookies and cream, dessert drink"
recipe_mocha_milkshake,Recipes,Mocha Coffee Milkshake,"Recipe: Mocha Coffee Milkshake. Blend cold coffee or espresso, milk, chocolate syrup, and vanilla ice cream until smooth. Calories: 310. Protein: 7g. A caffeinated dessert drink combining coffee and chocolate flavors; contains caffeine, so best enjoyed earlier in the day.","Mocha milkshake, coffee milkshake, caffeine drink"
recipe_mixed_berry_milkshake,Recipes,Mixed Berry Milkshake,"Recipe: Mixed Berry Milkshake. Blend a mix of strawberries, blueberries, and raspberries with milk and a little honey until smooth. Calories: 230. Protein: 6g. Vitamin C: 35mg (notably rich). A naturally antioxidant-rich shake from the combined berries, with less added sugar than ice-cream-based shakes.","Berry milkshake, mixed berry, antioxidant drink, fruit milkshake"
recipe_avocado_banana_milkshake,Recipes,Avocado Banana Milkshake,"Recipe: Avocado Banana Milkshake. Blend avocado, banana, milk, and a touch of honey until creamy and smooth. Calories: 340. Protein: 7g. Potassium: 700mg (notably rich). A creamy, nutrient-dense shake rich in healthy monounsaturated fats and potassium, without needing ice cream for its thick texture.","Avocado milkshake, banana milkshake, healthy fats, potassium"
